Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Acantholiparis caecus,NA,Fanged Snailfish,NA,F-ACCA,AFC4G21020,GNR,NA,NA,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Acantholiparis opercularis,NA,Spiny Snailfish,NA,F-ACOP,AFC4G21010,GNR,NA,NA,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Acipenser medirostris,NA,Green Sturgeon,NA,F-ACME,AFCAA01030,G2,2022,S2S3N,15-May-19,15-May-19,SC,NA,Blue,NA,NA,NA,NA,NA,NA,1-SC (2006),NA,2 - May be at risk (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DNC;DSQ;DSS_C,1;2;5;6,MVRD;STRD;SLRD;MWRD;CCRD;SQCRD;KSRD;SKRD,Delta;Ucluelet;Stewart;Tofino;Lake Cowichan;Sayward;Victoria;Hope;Massett;Harrison Hot Springs;Anmore;Port Moody;Highlands;Terrace;Richmond;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Lions Bay;Gibsons;Mission;Sooke;Bowen Island;Central Saanich;Lantzville;Queen Charlotte (Village);Sechelt (Indian Government);Pitt Meadows;Port Coquitlam;Chilliwack;Oak Bay;Qualicum Beach;Langley (District);Abbotsford;Surrey;White Rock;Comox;Colwood;Squamish;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;Esquimalt;Port Alberni;New Westminster;Saanich;Ladysmith;Nanaimo;Prince Rupert;Coquitlam;West Vancouver;Port Edward;Maple Ridge;Belcarra;Kitimat;Gold River,CDF;CWH,Kelp Bed;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,N,N,"Non-breeder that has very sporadic records, thus distinct occurrences cannot be mapped."
Acipenser transmontanus,NA,White Sturgeon,NA,F-ACTR,AFCAA01050,G4,2024,S2,27-Apr-18,10-Nov-94,E/T,"COSEWIC status is applied at the population level. Populations 1, 2 and 5 are E and population 4 is T.",No Status,NA,NA,NA,NA,NA,NA,1-E,"Partial. Columbia River, Nechako River, Kootenay River and Upper Fraser River populations on Schedule 1 (2006-08-15). Lower and Middle Fraser River populations on Schedule 3 (2005-03-01).",1 - At Risk (2005),II,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCC;DCK;DCO;DCS;DHW;DJA;DKA;DKL;DMH;DPG;DQU;DVA,2;3;4;5;6;7,MVRD;CKRD;SLRD;TNRD;CSRD;CBRD;KBRD;BNRD;FFRD;FVRD,NA,BG;CDF;CWH;ICH;IDF;MS;PP;SBS,Estuary;Kelp Bed;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Marine Island;Pond/Open Water;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,N,N,NA
Acipenser transmontanus pop. 1,NA,White Sturgeon (Upper Kootenay River Population),NA,F-ACTR-01,AFCAA01051,G4T1Q,2006,S1,24-Apr-18,22-Nov-93,E,NA,Red,NA,NA,NA,NA,NA,NA,1-E (2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DKL,4,CKRD,Kaslo;Nelson,ICH,Stream/River,Native,Regularly occurring,NA,NA,N,Y,NA
Acipenser transmontanus pop. 2,NA,White Sturgeon (Upper Columbia River Population),NA,F-ACTR-02,AFCAA01052,G4T3T4Q,2024,S1,24-Apr-18,01-Dec-94,E,NA,Red,NA,NA,NA,NA,NA,NA,1-E (2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCO,4,CKRD;CSRD;KBRD,Castlegar;Nakusp;Slocan;New Denver;Silverton;Revelstoke;Golden;Trail,ICH,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,NA,NA,N,Y,NA
Acipenser transmontanus pop. 4,NA,White Sturgeon (Lower Fraser River Population),NA,F-ACTR-04,AFCAA01054,G4T2Q,2002,S1S2,24-Apr-18,24-Apr-18,T,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DCS,2;3,MVRD;FVRD,Delta;Hope;Harrison Hot Springs;Anmore;Port Moody;Richmond;Kent;Lions Bay;Mission;Bowen Island;Pitt Meadows;Port Coquitlam;Chilliwack;Langley (District);Abbotsford;Surrey;White Rock;Vancouver;North Vancouver (District);North Vancouver (City);Burnaby;New Westminster;Coquitlam;West Vancouver;Maple Ridge;Belcarra,CDF;CWH;IDF,Kelp Bed;Stream/River;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,Y,Y,NA
Acipenser transmontanus pop. 5,NA,White Sturgeon (Upper Fraser River Population),NA,F-ACTR-05,AFCAA01055,G4T1Q,2001,S2,19-Apr-18,04-Jun-18,E,NA,Red,NA,NA,NA,NA,NA,NA,1-E (2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DHW;DPG,7,FFRD,McBride;Prince George,ICH;SBS,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,NA,NA,Y,Y,NA
Acrocheilus alutaceus,NA,Chiselmouth,NA,F-ACAL,AFCJB01010,G5,2011,S4,15-May-19,15-May-19,NAR,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DAB;DCC;DCH;DCK;DCO;DCS;DKA;DMH;DNI;DOS;DQU;DRM;DSS_C,3;4;5;7;8,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KBRD;FFRD;OSRD,Castlegar;Quesnel;Grand Forks;Osoyoos;Penticton;West Kelowna;Kelowna;Prince George;Salmon Arm;Princeton;Vernon;Summerland;Lake Country;Midway;Sicamous;Oliver;Keremeos;Merritt;Peachland;Logan Lake,BG;ICH;IDF;PP;SBPS;SBS,NA,Native,Regularly occurring,NA,NA,N,W,NA
Agonopsis vulsa,NA,Northern Spearnose Poacher,NA,F-AGVU,AFC4F02020,GNR,NA,NA,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Albatrossia pectoralis,NA,Giant Grenadier,NA,F-ALPE,AFCMC05010,GNR,NA,NA,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Alepisaurus ferox,NA,Longnose Lancetfish,NA,F-ALFE,AFC8E01020,G5,2017,NA,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Alepisauridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
