Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
AFC4G21020,Acantholiparis caecus,Fanged Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G21010,Acantholiparis opercularis,Spiny Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCAA01030,Acipenser medirostris,Green Sturgeon,CDF; CWH,S2S3N (2019),Blue,G2 (2022),SC,1-SC (2006),,,,
AFCAA01050,Acipenser transmontanus,White Sturgeon,BG; CDF; CWH; ICH; IDF; MS; PP; SBS,S2 (2018),No Status,G4 (2024),E/T,1-E,,,,
AFCAA01051,Acipenser transmontanus pop. 1,White Sturgeon (Upper Kootenay River Population),ICH,S1 (2018),Red,G4T1Q (2006),E,1-E (2003),,,Y,
AFCAA01052,Acipenser transmontanus pop. 2,White Sturgeon (Upper Columbia River Population),ICH,S1 (2018),Red,G4T3T4Q (2024),E,1-E (2003),,,Y,
AFCAA01054,Acipenser transmontanus pop. 4,White Sturgeon (Lower Fraser River Population),CDF; CWH; IDF,S1S2 (2018),Red,G4T2Q (2002),T,,,,Y,
AFCAA01055,Acipenser transmontanus pop. 5,White Sturgeon (Upper Fraser River Population),ICH; SBS,S2 (2018),Red,G4T1Q (2001),E,1-E (2003),,,Y,
AFCJB01010,Acrocheilus alutaceus,Chiselmouth,,S4 (2019),Yellow,G5 (2011),NAR,,,,,
AFC4F02020,Agonopsis vulsa,Northern Spearnose Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCMC05010,Albatrossia pectoralis,Giant Grenadier,,SNR,Not Reviewed,GNR,,,,,,
AFC8E01020,Alepisaurus ferox,Longnose Lancetfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHH02010,Alepocephalus tenebrosus,California Slickhead,,SNR,Not Reviewed,GNR,,,,,,
AFC1D01010,Allocyttus folletti,Oxeye Oreo,,SNR,Not Reviewed,GNR,,,,,,
AFCSC04010,Allolumpenus hypochromus,Y-prickleback,,SNR,Not Reviewed,GNR,NAR,,,,,
AFCHB05010,Allosmerus elongatus,Whitebait Smelt,,SNR,Not Reviewed,GNR,,,,,,
AFDDC01020,Alopias vulpinus,Thresher Shark,,SNR,Not Reviewed,GNR,,,,,,
AFCFA01060,Alosa sapidissima,American Shad,,SNA (2019),Exotic,G5 (2017),,,,,,
AFDFD01180,Amblyraja badia,Broad Skate,,SNR,Not Reviewed,GNR,,,,,,
AFCKA06030,Ameiurus melas,Black Bullhead,,SNA (2019),Exotic,G5 (2015),,,,,,
AFCKA06040,Ameiurus natalis,Yellow Bullhead,,SNA (2019),Exotic,G5 (2011),,,,,,
AFCKA06050,Ameiurus nebulosus,Brown Bullhead,,SNA (2019),Exotic,G5 (2015),,,,,,
