Species Code,Prov Status Change Date,COSEWIC Comments,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Element Code
F-ACCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G21020
F-ACOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G21010
F-ACME,15-May-19,NA,NA,NA,NA,NA,NA,2 - May be at risk (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DNC;DSQ;DSS_C,1;2;5;6,MVRD;STRD;SLRD;MWRD;CCRD;SQCRD;KSRD;SKRD,Delta;Ucluelet;Stewart;Tofino;Lake Cowichan;Sayward;Victoria;Hope;Massett;Harrison Hot Springs;Anmore;Port Moody;Highlands;Terrace;Richmond;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Lions Bay;Gibsons;Mission;Sooke;Bowen Island;Central Saanich;Lantzville;Queen Charlotte (Village);Sechelt (Indian Government);Pitt Meadows;Port Coquitlam;Chilliwack;Oak Bay;Qualicum Beach;Langley (District);Abbotsford;Surrey;White Rock;Comox;Colwood;Squamish;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;Esquimalt;Port Alberni;New Westminster;Saanich;Ladysmith;Nanaimo;Prince Rupert;Coquitlam;West Vancouver;Port Edward;Maple Ridge;Belcarra;Kitimat;Gold River,CDF;CWH,Kelp Bed;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,N,N,"Non-breeder that has very sporadic records, thus distinct occurrences cannot be mapped.",AFCAA01030
F-ACTR,10-Nov-94,"COSEWIC status is applied at the population level. Populations 1, 2 and 5 are E and population 4 is T.",NA,NA,NA,NA,"Partial. Columbia River, Nechako River, Kootenay River and Upper Fraser River populations on Schedule 1 (2006-08-15). Lower and Middle Fraser River populations on Schedule 3 (2005-03-01).",1 - At Risk (2005),II,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCC;DCK;DCO;DCS;DHW;DJA;DKA;DKL;DMH;DPG;DQU;DVA,2;3;4;5;6;7,MVRD;CKRD;SLRD;TNRD;CSRD;CBRD;KBRD;BNRD;FFRD;FVRD,NA,BG;CDF;CWH;ICH;IDF;MS;PP;SBS,Estuary;Kelp Bed;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Marine Island;Pond/Open Water;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,N,N,NA,AFCAA01050
F-ACTR-01,22-Nov-93,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DKL,4,CKRD,Kaslo;Nelson,ICH,Stream/River,Native,Regularly occurring,NA,NA,N,Y,NA,AFCAA01051
F-ACTR-02,01-Dec-94,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCO,4,CKRD;CSRD;KBRD,Castlegar;Nakusp;Slocan;New Denver;Silverton;Revelstoke;Golden;Trail,ICH,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,NA,NA,N,Y,NA,AFCAA01052
F-ACTR-04,24-Apr-18,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DCS,2;3,MVRD;FVRD,Delta;Hope;Harrison Hot Springs;Anmore;Port Moody;Richmond;Kent;Lions Bay;Mission;Bowen Island;Pitt Meadows;Port Coquitlam;Chilliwack;Langley (District);Abbotsford;Surrey;White Rock;Vancouver;North Vancouver (District);North Vancouver (City);Burnaby;New Westminster;Coquitlam;West Vancouver;Maple Ridge;Belcarra,CDF;CWH;IDF,Kelp Bed;Stream/River;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,NA,NA,Y,Y,NA,AFCAA01054
F-ACTR-05,04-Jun-18,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DHW;DPG,7,FFRD,McBride;Prince George,ICH;SBS,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,NA,NA,Y,Y,NA,AFCAA01055
F-ACAL,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DAB;DCC;DCH;DCK;DCO;DCS;DKA;DMH;DNI;DOS;DQU;DRM;DSS_C,3;4;5;7;8,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KBRD;FFRD;OSRD,Castlegar;Quesnel;Grand Forks;Osoyoos;Penticton;West Kelowna;Kelowna;Prince George;Salmon Arm;Princeton;Vernon;Summerland;Lake Country;Midway;Sicamous;Oliver;Keremeos;Merritt;Peachland;Logan Lake,BG;ICH;IDF;PP;SBPS;SBS,NA,Native,Regularly occurring,NA,NA,N,W,NA,AFCJB01010
F-AGVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4F02020
F-ALPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC05010
F-ALFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Alepisauridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC8E01020
F-ALTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Alepocephalidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCHH02010
F-ALFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Zeiformes,Oreosomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC1D01010
F-ALHY,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSC04010
F-ALEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCHB05010
F-ALVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Alopiidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDDC01020
F-ALSA,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae,NA,1;2,NA,NA,CDF;CWH;ICH;IDF;MS;SBS,NA,Exotic,Regularly occurring,NA,NA,N,N,NA,AFCFA01060
F-AMBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD01180
F-AMME,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,NA,4;8,NA,NA,BG;CDF;CWH;ICH,NA,Exotic,Regularly occurring,NA,NA,N,N,NA,AFCKA06030
F-AMNE,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,NA,1;2;4,NA,NA,BG;CDF;CWH;ICH;IDF,NA,Exotic,Regularly occurring,NA,NA,N,N,NA,AFCKA06050
