Species Code,Element Code
F-ACCA,AFC4G21020
F-ACOP,AFC4G21010
F-ACME,AFCAA01030
F-ACTR,AFCAA01050
F-ACTR-01,AFCAA01051
F-ACTR-02,AFCAA01052
F-ACTR-04,AFCAA01054
F-ACTR-05,AFCAA01055
F-ACAL,AFCJB01010
F-AGVU,AFC4F02020
F-ALPE,AFCMC05010
F-ALFE,AFC8E01020
F-ALTE,AFCHH02010
F-ALFO,AFC1D01010
F-ALHY,AFCSC04010
F-ALEL,AFCHB05010
F-ALVU,AFDDC01020
F-ALSA,AFCFA01060
F-AMBA,AFDFD01180
F-AMME,AFCKA06030
F-AMNE,AFCKA06050
F-AMHE,AFCS601030
F-AMRH,AFCQK03030
F-ANOC,AFCSD02010
F-ANIN,AFC4F05010
F-ANIS,AFCSC05010
F-ANPU,AFCSC05020
F-ANCO,AFCZD02010
F-ANFI,AFC4C01010
F-ANNI,AFC8F01020
F-ANMI,AFCMH01020
F-APCA,AFCS211010
F-APFL,AFCQR03020
F-APFU,AFCQR03010
F-APBR,AFDDF01010
F-APVE,AFC4G08010
F-ARRI,AFC8D02010
F-ARSL,AFC7C01020
F-ARSC,AFC7B04010
F-ARFE,AFC4E23020
F-ARHA,AFC4E23030
F-ARLA,AFC4E23040
F-ASRH,AFC4E24010
F-ASTA,AFC4E25010
F-ATST,AFCTB19020
F-ATAF,AFCND04010
F-ATNO,AFCQH10010
F-AUFL,AFCPA05010
F-AVIN,AFCEJ02010
F-BAPO,AFC3B03020
F-BARU,AFC9B02010
F-BAFL,AFC7B05010
F-BAAL,AFC4F06010
F-BAIN,AFC4F06020
F-BANI,AFC4F06030
F-BAPE,AFC4F06040
F-BAPA,AFCHF02020
F-BAEX,AFCHG02010
F-BACA,AFCRY01010
F-BASI,AFCRY01020
F-BAAB,AFDFD02080
F-BAAE,AFDFD02010
F-BAIT,AFDFD02030
F-BAMI,AFDFD02140
F-BAPR,AFDFD02040
F-BATR,AFDFD02060
F-BEDE,AFC8G01010
F-BELI,AFC8G01020
F-BEPA,AFCS202020
F-BETE,AFCS202040
F-BLBI,AFC4E26010
F-BLCI,AFC4E26020
F-BOSW,AFC4F07010
F-BOBR,AFCS802020
F-BOMO,AFCS802030
F-BOPU,AFCMG02010
F-BRFR,AFCQK04010
F-BRJA,AFCRH01040
F-BRMA,AFCME01010
F-BRMR,AFCSC06020
F-CAAU,AFCJB04010
F-CACA,AFDDE01010
F-CACY,AFC4G09150
F-CAGI,AFC4G09070
F-CAME,AFC4G09020
F-CAOR,AFC4G09120
F-CAOV,AFC4G09130
F-CAMC,AFCQ101010
F-CACT,AFCJC02030
F-CACO,AFCJC02050
F-CACM,AFCJC02060
F-CAMA,AFCJC02130
F-CAPL,AFCJC02160
F-CASP-04,AFCJC02260
F-CAPR,AFCRE01050
F-CEHO,AFCYE02010
F-CETO,AFCVH01010
F-CEMA,AFDDD01010
F-CHME,AFCYH01010
F-CHMA,AFC7B01010
F-CHVE,AFC4F09030
F-CHDE,AFCSC08020
F-CHNU,AFCSC08030
F-CHTA,AFCSC08040
F-CHPU,AFC4E27010
F-CHEO,AFCJB31020
F-CHEOxCHNE,AFCJB31X10
F-CHNE,AFCJB31040
F-CISO,AFCTA01080
F-CIST,AFCTA01090
F-CLIO,AFCQN03010
F-CLAS,AFCTB23010
F-CLAC,AFC4E01010
F-CLEM,AFC4E01030
F-CLGL,AFC4E01040
F-CLPA,AFCFA07030
F-COSA,AFCNF01010
F-COAR,AFCHA01020
F-COAU,AFCHA01030
F-COCL,AFCHA01040
F-CONA,AFCHA01090
F-COSR,AFCHA01130
F-COAC,AFCMC06010
F-COAM,AFCMC06020
F-COCI,AFCMC06030
F-COFI,AFCMC06040
F-COLE,AFCMC06050
F-COYA,AFCMC06080
F-COAL,AFC4E02010
F-COSP-02,AFC4E02270
F-COAS,AFC4E02020
F-COCO,AFC4E02080
F-COCN,AFC4E02090
F-COHU,AFC4E02053
F-CORH,AFC4E02220
F-CORI,AFC4E02230
F-COSP-04,AFC4E02380
F-COPL,AFCJB06010
F-COPL-02,AFCJB06012
F-COPL-03,AFCJB06013
F-CRAL,AFCSF01020
F-CRGI,AFCSF01030
F-CUIN,AFCPA02010
F-CYAT,AFC7A01020
