Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
AF,All Fish,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,ARCH,NA
SP,Fish Unidentified Species,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,ARLM,NA
SG,Sturgeon (General),Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,CRTR,NA
GSG,Green Sturgeon,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-ACME,NA,NA
WSG,White Sturgeon,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,F-ACTR,NA,NA
SH,American Shad,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,F-ALSA,NA,NA
SU,Sucker (General),Actinopterygii,Cypriniformes,Catostomidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,DPSC,NA
LSU,Longnose Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,catostomus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CACT,LNSC,NA
BSU,Bridgelip Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,columbianus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CACO,NA,NA
WSU,White Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,commersonii,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CACM,WHSC,NA
CSU,Largescale Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,macrocheilus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CAMA,LRSC,NA
MSU,Northern Mountain Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,platyrhynchus,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-CAPL,MNSC,NA
SSU,Salish Sucker,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,sp. 4,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-CASP-04,NA,NA
OWF,Oriental Weatherfish,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,anguillicaudatus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FAMCATO,NA
C,Minnow (General),Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FAMCYPR,NA
CBC,Chub (General),Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA
CPG,Carp (General),Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA
DC,Dace (General),Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,SPLA,NA
CMC,Chiselmouth,Actinopterygii,Cypriniformes,Cyprinidae,Acrocheilus,alutaceus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-ACAL,NA,NA
GC,Goldfish,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-CAAU,GOFS,NA
RDC,Northern Redbelly Dace,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,eos,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CHEO,NRDC,NA
XDC,Northern Redbelly Dace x Finescale Dace,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,eos,NA,neogaeus,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-CHEOxCHNE,NFDC,NA
FDC,Finescale Dace,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,neogaeus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CHNE,FNDC,NA
LKC,Lake Chub,Actinopterygii,Cypriniformes,Cyprinidae,Couesius,plumbeus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-COPL,LKCH,NA
CP,Carp,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-CYCA,NA,NA
BMC,Brassy Minnow,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,hankinsoni,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,F-HYHA,BRMN,NA
PDC,Northern Pearl Dace,Actinopterygii,Cypriniformes,Cyprinidae,Margariscus,margarita,NA,nachtriebi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
PCC,Peamouth Chub,Actinopterygii,Cypriniformes,Cyprinidae,Mylocheilus,caurinus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-MYCA,PMCH,NA
ESC,Emerald Shiner,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,atherinoides,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,F-NOAT,EMSH,NA
STC,Spottail Shiner,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,hudsonius,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-NOHU,SPSH,NA
