"SPECIES_ID","CODE","NAME","CDCGR_CODE","CDCLR_CODE","SCIENTIFIC_NAME","SPCTYPE_CODE","SPCGRP_CODE"
"1","AF","All Fish","","","","G","Other"
"2","AO","All Salmon","","","Oncorhynchus sp","G","Salmon"
"3","SH","American Shad","G5","SE","Alosa sapidissima","S","Other"
"4","ABT","Anadromous Bull Trout","","","","S","Other"
"5","AC","Arctic Char","","","Salvelinus alpinus","S","Sport"
"6","CA","Arctic Cisco","G5","S1","Coregonus autumnalis","S","Other"
"7","GR","Arctic Grayling","G5","S5","Thymallus arcticus","S","Sport"
"8","AL","Arctic Lamprey","","","Lampetra ?","S","Other"
"9","ASM","Arctic Smelt","","","","S","Other"
"10","AS","Atlantic Salmon","G5","SE","Salmo salar","S","Salmon"
"11","SB1","Balkwill Lake Benthic Stickleback","G1","S1","Gasterosteus sp","U","Other"
"12","SB2","Balkwill Lake Limnetic Stickleback","G1","S1","Gasterosteus sp","U","Other"
"13","BS","Bass/Sunfish (General)","","","Micropterus sp; Lepomis sp; Pomoxis sp","G","Other"
"14","CB","Bering Cisco","","","","S","Other"
"15","BKH","Black Catfish (formerly Black Bullhead)","G5","SE","Ameiurus melas","S","Other"
"16","BCB","Black Crappie","G5","SE","Pomoxis nigromaculatus","S","Sport"
"17","CHMC","Blotched Snakehead","","","Channa maculata","S","Other"
"18","BG","Bluegill","","","Lepomis macrochirus","S","Sport"
"19","BMC","Brassy Minnow","G5","S3","Hybognathus hankinsoni","S","Other"
"20","BSU","Bridgelip Sucker","G5","S5","Catastomus columbianus","S","Other"
"21","BW","Broad Whitefish","G5","S1S2","Coregonus nasus","S","Other"
"22","BSB","Brook Stickleback","G5","S4","Culaea inconstans","S","Other"
"23","EB","Brook Trout","G5","SE","Salvelinus fontinalis","S","Sport"
"24","AEB","Brook Trout (Anadromous)","","","Salvelinus fontinalis","U","Other"
"25","BNH","Brown Catfish (formerly Brown Bullhead)","G5","SE","Ameiurus nebulosus","S","Other"
"26","GB","Brown Trout","G5","SE","Salmo trutta","S","Sport"
"27","AGB","Brown Trout (Anadromous)","","","Salmo trutta","U","Sport"
"28","BT","Bull Trout","G3","S3?","Salvelinus confluentus","S","Sport"
"29","BH","Bullhead (General)","","","Ameiurus sp","G","Other"
"30","BB","Burbot","G5","S5","Lota lota","S","Sport"
"31","CP","Carp","G5","SE","Cyprinus carpio","S","Other"
"32","CPG","Carp (General)","","","Cyprinus sp.","S","Other"
"33","SLV","Char, General","","","Salvelinus","G","Other"
"34","SB3","Charlotte Unarmoured Stickleback","","","Gasterosteus sp","S","Other"
"35","CH","Chinook Salmon","G5","S4","Oncorhynchus tshawytscha","S","Salmon"
"36","CMC","Chiselmouth (formerly Chiselmouth Chub)","G5","S3","Acrocheilus alutaceus","S","Other"
"37","CBC","Chub (General)","","","","G","Other"
"38","CM","Chum Salmon","G5","S5","Oncorhynchus keta","S","Salmon"
"39","PLABIN","Coarse Rams-horn","G5","SU","Planorbulla binneyi","S","Other"
"40","OS","Coarse or non-game fish","","","","G","Other"
"41","CCT","Coastal Cutthroat Trout","","","Oncorhynchus clarki clarki","U","Sport"
"42","CAL","Coastrange Sculpin (formerly Aleutian Sculpin)","G5","S5","Cottus aleuticus","S","Other"
"43","CO","Coho Salmon","G5","S5","Oncorhynchus kisutch","S","Salmon"
